empdate,mnly_chng
1/9/2015,269
2/6/2015,213
3/6/2015,248
4/3/2015,77
5/8/2015,300
6/5/2015,319
7/2/2015,170
8/7/2015,293
9/4/2015,122
10/2/2015,133
11/6/2015,339
12/4/2015,235
1/8/2016,280
2/5/2016,90
3/4/2016,232
4/1/2016,234
5/6/2016,211
6/3/2016,15
7/8/2016,282
8/5/2016,336
9/2/2016,135
10/7/2016,270
11/4/2016,128
12/2/2016,170
1/6/2017,215
2/3/2017,252
3/10/2017,141
4/7/2017,127
5/5/2017,213
6/2/2017,128
7/7/2017,229
8/4/2017,204
9/1/2017,187
10/6/2017,18
11/3/2017,260
12/8/2017,220
1/5/2018,174
2/2/2018,171
3/9/2018,330
4/6/2018,182
5/4/2018,196
6/1/2018,270
7/6/2018,262
8/3/2018,178
9/7/2018,282
10/5/2018,108
11/2/2018,277
12/7/2018,196
1/4/2019,227
2/1/2019,312
3/8/2019,56
4/5/2019,153
5/3/2019,216
6/7/2019,62
7/5/2019,178
8/2/2019,166
9/6/2019,219
10/4/2019,193
11/1/2019,156
12/6/2019,266
