word,cnt_word
000hermansjr000,1
007cigarjoe,1
007llisav,4
00exmcgqlp,1
00gnh9nlet,1
00hol0to0u,1
00mao6vk7r,1
00patriot,1
00phdhsb37,2
00pme,10
00pmest,1
00s5tgsxrm,1
01,3
01c8isgdb3,1
02,2
02nmqn3znq,1
03,6
036,2
03ddyvu6ha,2
03e4ybiwr0,1
03slex,1
03uzbgcswb,1
044xgnylth,1
04qqpgylt7,1
05e6lqo9nl,1
05fxdli,1
05ny0wjhkl,1
05sjurjfbf,1
06,2
06ozcbe08b,1
07,1
08,2
084gasjn6e,1
088pyglfnu,1
08fmnhytac,1
08xkebd8be,1
09,3
092t2vrmew,1
09asrbwqrv,1
09bac03rx6,1
09htbbgphf,1
09leiplosp,1
0a25gapyj6,1
0a3vkunmbp,1
0a7apd4kuo,1
0angxb2bri,1
0asdowpmsy,1
0bf7bolwej,1
0bf8bbtzi8,1
0bj518conl,1
0bjk9bwkfw,1
0bstlvq7v9,1
0bt2jyormn,1
0cidcuofeo,1
0cpnuzjqb9,2
0cyrjl1yoj,1
0da5isxmrz,1
0dfkx0vukl,1
0dhld5kivc,1
0dojemrzc9,1
0dtxsagkz1,1
0duy5hoatn,1
0dyhkzzwvj,1
0efv8qa9a3,1
0ei3edqdxb,1
0evxj7ww6c,1
0ffektsujn,1
0fmgnbuacc,1
0foqgafjmh,1
0fyfpvughk,1
0gmvnr3lfa,1
0hita7wzre,1
0iaeipyeho,1
0ja1ys3gxo,1
0jcjfbcpjz,1
0k0y0pgbhc,1
0kl9mcboru,1
0kyd2jwiau,1
0l00ovco5b,1
0ld0z0fhju,1
0lje9qbnlh,1
0llss8u77q,1
0luzczl29d,1
0lxkmuope9,1
0mdp9ddias,1
0mieywxmbw,1
0motk4dnc3,1
0n0kicvf3n,1
0n4aeorwk9,1
0ngiihgy18,1
0nlypablo,1
0nnkebsd73,1
0nonsense,1
0nqlzbwufo,1
0nuayexepn,1
0o0vsyxmhb,1
0obfd9pilr,1
0ojzchmsum,1
0oyedcofse,1
0p4qsnaltb,1
0pwiwchgbh,22
0pwiwcq4mh,9
0pzwjg3vxn,1
0qajfocu6y,1
