,source,text,date,retweet_count,favorite_count,id_str,time
1213,Twitter Web Client,Must read opinion piece by @Gallup CEO Jim Clifton: “The Big Lie: 5.6% Unemployment” http://t.co/3SPeAAOLwM Just as I have long been saying…,2015-02-04,84,64,563049029484167168,18:58:44.000000
1758,Twitter for Android,"""@ezika101: @realDonaldTrump #Trump2016 #jobsmatter""",2015-03-18,8,22,578191432508387328,13:49:14.000000
1887,Twitter for Android,"""@conservmatt: @stevenlas @jimlockwoodshow @realDonaldTrump the Donald employs and feeds more people than all of us combined. He's America.""",2015-03-25,23,54,580547936964227072,01:53:08.000000
2178,Twitter for Android,"""@ITTRP:  @TaraHill5 Obama's average employment % is worse than his last 5 predecessors, including Carter! https://t.co/aTuQMXOe16""",2015-04-11,28,34,586731029454577664,03:22:33.000000
2279,Twitter for Android,"""@washpostjobs: Who's excited for the hundreds of #jobs Trump is bringing to DC by restoring the Post Office into his newest hotel? We are!""",2015-04-12,33,82,587342996649201664,19:54:17.000000
2284,Twitter for Android,"""@garycassard:  ""@washpostjobs: hundreds of #jobs Trump is bringing to DC by restoring the Post Office. Rain or Shine Trump Delivers!""",2015-04-12,10,39,587346835955658752,20:09:32.000000
2360,Twitter for Android,"""@pare900: @HAJMAJA @realDonaldTrump Trump wants low taxes, strong defense and jobs . Trump is good at creating jobs.",2015-04-15,15,36,588313552047439872,12:10:55.000000
2470,Twitter for Android,"For all of the haters and losers out there sorry, I never went Bankrupt -- but I did build a world class company and employ many people!",2015-04-18,436,717,589388289456660480,11:21:33.000000
2497,Twitter for Android,"""@Michael_Haz: Watched replay of D.T. speaking in Nashua today. He was dead on the mark in terms of creating jobs, managing foreign policy.""",2015-04-19,9,34,589634221330817024,03:38:47.000000
2629,Twitter Web Client,The Trans-Pacific Partnership will lead to even greater unemployment. Do not pass it.,2015-04-22,145,176,590983484518305792,21:00:17.000000
2705,Twitter for Android,"""@Jackson_Tweets: @realDonaldTrump you will cream Hillary Clinton in a debate!"" I create jobs and build, but should be able to do just fine!",2015-04-25,25,40,591982627906842624,15:10:31.000000
2748,Twitter for Android,"The best social program, by far, is a JOB! Our jobs are being taken away from us by China and many other countries - incompetent leader.",2015-04-28,802,1053,593037926369464320,13:03:54.000000
2794,Twitter Web Client,"Via @ConroeCourier by @StephenGreen91:“Trump talks 2016 run, jobs at @TXPatriotsPAC” http://t.co/TUPtn3RW0O",2015-05-01,11,22,594188557251702784,17:16:06.000000
2824,Twitter for Android,"Baltimore had a really tough night - only great leadership can solve the many inner-city problems facing our country. Jobs, jobs, jobs!",2015-05-02,102,235,594374255447441408,05:34:00.000000
3117,Twitter Web Client,Via @DMRegister by @brianneDMR:“Trump: Bring back jobs from overseas” http://t.co/hlregvFFJc Let's Make America Great Again!,2015-05-17,21,67,599984503503880192,17:07:07.000000
3138,Twitter for Android,"""@macresslertech: RT Via @DMRegister by @brianneDMR:“Trump: Bring back jobs from overseas” http://t.co/tVEX5w2ZqH Let's Make America Great",2015-05-18,12,32,600262007154188288,11:29:49.000000
3166,Twitter Web Client,“Trump: I created tens of thousands of jobs” http://t.co/tEmQD0xQY5 via @thehill by @SmiloTweets,2015-05-19,25,66,600686895090278400,15:38:10.000000
3226,Twitter for Android,"""@champforrest: @megynkelly  Bringing jobs back from China &amp; Asia is a winning issue. He'll capture the Reagan Democrats. Hope he runs.""",2015-05-21,21,26,601264400390062080,05:52:58.000000
3276,Twitter for BlackBerry,"""Many Republicans support TPP. They are stupid. We have stupid Republicans too. We need to keep jobs here!"" - my @SRQRepublicans speech",2015-05-22,248,454,601541321699041280,00:13:21.000000
3318,Twitter for Android,"""@thehill: Donald Trump: ""I have created tens of thousands of jobs"" http://t.co/3Qjqfzl7tj http://t.co/HUTV6CDphY""",2015-05-23,80,152,602260364546408448,23:50:35.000000
3371,Twitter for Android,"""@2014_vince: @realDonaldTrump bring jobs back from asia and mexico..vote trump for wage justice""",2015-05-27,13,39,603358499087745024,00:34:10.000000
3537,Twitter Web Client,The Trans-Pacific Partnership will increase our trade deficits &amp; send even more jobs overseas. This is a bad deal. Time for smart trade!,2015-06-03,213,267,606125803420700672,15:50:27.000000
3869,Twitter Web Client,"""@WordgirlSmith @realDonaldTrump Please keep telling all of America that jobs, jobs, jobs are important to us because YOU ARE RIGHT!!!""",2015-06-23,100,273,613354055155515392,14:32:56.000000
3878,Twitter Web Client,Politician @SenatorCardin didn't like that I said Baltimore needs jobs &amp; spirit. It's politicians like Cardin that have destroyed Baltimore.,2015-06-24,225,479,613712380464353280,14:16:48.000000
3896,Twitter for Android,"My message, MAKE AMERICA GREAT AGAIN, is beginning to take hold. Bring back our jobs, strengthen our military and borders, help our VETS!",2015-06-25,1415,2506,613893532793892864,02:16:38.000000
3911,Twitter Web Client,"I love Mexico but not the unfair trade deals that the US so stupidly makes with them. Really bad for US jobs, only good for Mexico.",2015-06-25,1321,1911,614077526181314560,14:27:45.000000
3935,Twitter for Android,"""@DeanDesign101: Why not @realDonaldTrump? He knows how to create wealth, jobs and is not a wimp. #DonaldTrump #foxandfriends""",2015-06-28,106,263,615138083227467776,12:42:02.000000
4003,Twitter for Android,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!",2015-06-30,4151,4219,615866741994954752,12:57:28.000000
4063,Twitter Web Client,"New jobs report: 432,000 left workforce, manufacturing &amp; durable goods go - http://t.co/RD1blUZyRn We need leaders who understand business.",2015-07-02,442,550,616682744660262912,18:59:58.000000
4109,Twitter for Android,Mexican leaders and negotiators are much tougher and smarter than those of the U.S. Mexico is killing us on jobs and trade. WAKE UP!,2015-07-03,720,1349,616926822949855232,11:09:51.000000
4113,Twitter for BlackBerry,We need jobs &amp; we need them fast. I am a job creator. None of the pols can or will. Let's Make America Great Again! https://t.co/u25yI5T7E8,2015-07-03,740,1372,617042193602248704,18:48:17.000000
4129,Twitter for Android,"""@RoniSeale:  The American people deserve a wall to protect our jobs, economy and our safety. I am the only candidate who would build it.""",2015-07-04,468,850,617178533065064448,03:50:03.000000
4191,Twitter Web Client,"It is time to create jobs for Americans, not D.C. We need a bold new direction. Let’s Make America Great Again! https://t.co/u25yI5T7E8",2015-07-05,1181,2141,617717983826329600,15:33:38.000000
4346,Twitter Web Client,"Ford is MOVING jobs from Michigan to Mexico AGAIN! http://t.co/TgVQ1458AJ As President, this will stop on Day One! Jobs will stay here.",2015-07-14,1328,1980,620939800888127488,12:55:59.000000
4647,Twitter for Android,"""@lucascoon1: @realDonaldTrump Reaganomics created 16 million new jobs and Trumpenomics will create 16 million more""",2015-07-25,446,920,624897650157035520,11:03:04.000000
4684,Twitter for Android,".@ScottWalker is a nice guy, but not presidential material. Wisconsin is in turmoil, borrowing to the hilt, and doing poorly in jobs etc.",2015-07-26,761,1362,625128359572426752,02:19:49.000000
4686,Twitter for Android,"""@ModerateMic: .DonaldTrump: Ask @ScottWalker why he left 1,000+ WI jobs on the table due to a political deal with the @paysbig Potawatomi",2015-07-26,241,433,625135670319783936,02:48:52.000000
4719,Twitter Web Client,"When people find out how bad a job Scott Walker has done in WI, they won’t be voting for him. Massive deficit, bad jobs forecast, a mess.",2015-07-27,2245,2211,625727665903898624,18:01:15.000000
5014,Twitter for Android,"""@paulfincher2: I truly believe @realDonaldTrump is America's best choice to get our economy back on course &amp; create needed jobs.",2015-08-17,699,2097,633332142592946176,17:38:44.000000
5027,Twitter Web Client,If I am elected President I will immediately approve the Keystone XL pipeline.  No impact on environment &amp; lots of jobs for U.S.,2015-08-18,5450,9567,633739970985897984,20:39:18.000000
5245,Twitter for Android,"""@MJosephSheppard: No other GOP candidate has potential to win Ohio &amp; Pennsylvania-thus the presidency except ""jobs"" @realDonaldTrump.",2015-09-07,1034,2095,640717760234942464,02:46:32.000000
5248,Twitter for Android,"""@MJosephSheppard: No other GOP candidate has potential to win Ohio &amp; Pennsylvania-thus the presidency, except ""jobs"" pres @realDonaldTrump!",2015-09-07,1279,1664,640964676076052480,19:07:41.000000
5294,Twitter for Android,"""@DesignerDeb3:  @realDonaldTrump is the only candidate against illegals. We will have America back - &amp; jobs""",2015-09-12,433,1057,642651507746324480,10:50:33.000000
5466,Twitter for Android,"""@MiriamRoseMc:  #TRUMp2016 would be the best for the country, jobs, trade and taxes - all others are status quo #MakeAmericaGreatAgain""",2015-09-22,852,1693,646296388209405952,12:14:01.000000
5815,Twitter for Android,"""@heavenlyitalian: @seanhannity @FoxNews time we had a businessman in the WH,who can bring back jobs to America and restore the middle class",2015-10-13,710,1598,653774013798461440,03:27:26.000000
