,source,text,date,retweet_count,favorite_count,id_str,time
793,Twitter for Android,"""@catham11: @EW @realDonaldTrump you were my inspiration to go for my B.S. in marketing😄😄😄""",2015-01-20,4,18,557486204137259008,10:34:03.000000
1225,Twitter Web Client,Entrepreneurs:  Having a product requires something very important--you have to think about the market. Do your due diligence.,2015-02-05,125,176,563409153813934080,18:49:44.000000
1268,Twitter for Android,"""@frankadgpr: @realDonaldTrump @ApprenticeNBC Clearly, you are a master of marketing and business success.""",2015-02-09,9,22,564922799559835648,23:04:25.000000
1969,Twitter Web Client,There is only one fix for ObamaCare - REPEAL &amp; REPLACE with a free market oriented alternative!,2015-03-31,99,177,582965669211344896,18:00:21.000000
3442,Twitter Web Client,ObamaCare premiums could jump as high as 51% http://t.co/BdBnj4hm99 Terrible for economy. Repeal &amp; Replace with free market solution!,2015-05-28,230,271,604024764668252160,20:41:40.000000
4863,Twitter for Android,"""@sr_stocks: @WSJ @realDonaldTrump winner Trump. get use to it.Trump2016""",2015-08-04,184,577,628705646184165376,23:14:41.000000
5074,Twitter for Android,"As I have long stated, we are so tied in with China and Asia that their markets are now taking the U.S. market down. Get smart U.S.A.",2015-08-24,4006,6027,635806464595116032,13:30:48.000000
6480,Twitter for Android,"""@pjs307: @WalshFreedom Will be highest rated show ever, @realDonaldTrump is a marketing genius #SNL"" Hope it does well!",2015-11-06,616,1404,662692672755392512,18:07:00.000000
7597,Twitter for Android,"""@Kacee50: @realDonaldTrump Women make up the fastest growing market in gun sales. And Hillary wants to take those rights away from women!""",2016-01-06,3142,6693,684582462022758400,03:49:12.000000
7609,Twitter for Android,".@Macys was one of the worst performing stocks on the S&amp;P last year, plunging 46%. Very disloyal company. Another win for Trump! Boycott.",2016-01-07,2026,5845,685057265989189632,11:15:54.000000
8588,Twitter for iPhone,"Thank you Idaho! I love your potatoes- 
nobody grows them better. As 
President, I will protect your market. https://t.co/kqx8un1jnw",2016-03-07,5151,14484,706974796509286400,22:48:21.000000
9617,Twitter for Android,"""@FreemarketSara: Trump's Historic 13 Million Primary Votes - A Record ... Congratulations @realDonaldTrump https://t.co/zdOEle8wOL""",2016-06-10,7176,19696,741095312601812992,02:31:06.000000
9769,Twitter for Android,Crooked Hillary Clinton got Brexit wrong. I said LEAVE will win. She has no sense of markets and such bad judgement. Only a question of time,2016-06-26,5482,17418,747191624535511040,22:15:40.000000
9782,Twitter for Android,"""@arnold_ziffel: @AnnCoulter also can't help but notice the stock market's reaction as @realDonaldTrump was speaking. #UPUPUP""",2016-06-28,2814,8829,747873381077356544,19:24:43.000000
10364,Twitter for iPhone,"Just as we won the Cold War, in part, by exposing the evils of communism and the virtues of free markets....
Cont: https://t.co/SXp7efXEZU",2016-08-16,5864,17099,765688915932045312,23:17:18.000000
11550,Twitter for iPhone,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,2016-12-26,30090,128341,813527932165558272,23:32:28.000000
11873,Twitter for Android,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,2017-02-16,23643,127764,832191485701451776,11:34:46.000000
11901,Twitter for iPhone,'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU,2017-02-23,10563,56246,834899071982841856,22:53:45.000000
12166,Twitter for iPhone,The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,2017-04-26,9388,47225,857185261029126144,10:51:06.000000
12209,Twitter for iPhone,"Death spiral!
'Aetna will exit Obamacare markets in VA in 2018, citing expected losses on INDV plans this year'
https://t.co/5YnzDitF8r",2017-05-04,8296,29942,860108914624532480,12:28:39.000000
12381,Twitter for iPhone,The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling &amp; energy sector...,2017-06-11,24411,99607,873878061778907136,12:22:20.000000
12592,Twitter for iPhone,"""After 14 years, U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture."" https://t.co/gDGgejqFMs",2017-07-12,17717,69870,885232527656538112,20:20:56.000000
12594,Twitter for iPhone,Stock market hits another high with spirit and enthusiasm so positive. Jobs outlook looking very good! #MAGA🇺🇸 https://t.co/Vwxsb2vWGe,2017-07-12,15993,65621,885274148012011520,23:06:19.000000
12619,Twitter for iPhone,"Just got to the #USWomensOpen in Bedminster, New Jersey. People are really happy with record high stock market - up over 17% since election!",2017-07-15,11542,66479,886321948275429376,20:29:54.000000
12762,Twitter for iPhone,"West Virginia was incredible last night. Crowds and enthusiasm were beyond, GDP at 3%, wow!Dem Governor became a Republican last night.",2017-08-04,17395,84848,893420123641479168,10:35:31.000000
13159,Twitter for iPhone,GDP was revised upward to 3.1 for last quarter. Many people thought it would be years before that happened. We have just begun!,2017-09-29,22102,91189,913589799411490816,02:22:36.000000
13292,Twitter for iPhone,"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",2017-10-14,18450,84508,919160558712172544,11:18:49.000000
13412,Twitter for iPhone,Very little reporting about the GREAT GDP numbers announced yesterday (3.0 despite the big hurricane hits). Best consecutive Q's in years!,2017-10-28,21327,90590,924249943719727104,12:22:12.000000
