,source,text,date,retweet_count,favorite_count,id_str,time
2134,Twitter for Android,"""@Finenco: Rand Paul #speech is a repeat of every other #politician. Heard it before @TexasGOP @nytimes We need flat tax #Vote 4 DonaldTrump",2015-04-08,11,27,585726757262782464,08:51:55.000000
2360,Twitter for Android,"""@pare900: @HAJMAJA @realDonaldTrump Trump wants low taxes, strong defense and jobs . Trump is good at creating jobs.",2015-04-15,15,36,588313552047439872,12:10:55.000000
2417,Twitter Web Client,"My @TeamCavuto int. on simplifying the tax code, our incompetent leaders, Iran and making America great again http://t.co/qOYj0clN4j",2015-04-16,21,40,588768626049683456,18:19:13.000000
2526,Twitter for Android,"""@amir_ibrahim26: @realDonaldTrump I think u should run for president all small business here in Memphis the closing down because of tax""",2015-04-19,23,38,589935127461027840,23:34:29.000000
2743,Twitter for Android,"Now that the ineffective Baltimore  Police have allowed the city to be destroyed, are the U.S. taxpayers expected to rebuild it (again)?",2015-04-28,1645,1792,592991427304562688,09:59:08.000000
3851,Twitter Web Client,Flashback – Jeb Bush received a $4M tax payer bailout in 1990 http://t.co/R2bpNbRQRX  Guess who was POTUS then?,2015-06-22,220,255,613032931460784128,17:16:55.000000
4800,Twitter Web Client,"Should not raise taxes in Wisconsin, but massive budget deficit. Education, roads, etc suffering. @DanHenninger lies. @WSJ",2015-07-31,223,563,627110603384037376,13:36:33.000000
5072,Twitter for Android,"The last thing we need is another Bush in the White House. Would be the same old thing (remember ""read my lips, no more taxes""). GREATNESS!",2015-08-23,2800,5433,635401058123059200,10:39:52.000000
5217,Twitter for Android,The hedge fund guys (gals) have to pay higher taxes ASAP. They are paying practically nothing. We must reduce taxes for the middle class!,2015-09-05,4717,7930,640281925270286336,21:54:41.000000
5351,Twitter Web Client,"My plan will lower taxes for our country, not raise them. Phony @club4growth says I will raise taxes—just another lie.",2015-09-15,1967,3488,643843401037819904,17:46:43.000000
5352,Twitter Web Client,.@club4growth asked me for $1 million. I said no. Now falsely advertising that I will raise taxes. I’ll lower big league for middle class.,2015-09-15,1664,2960,643843692588081152,17:47:53.000000
5466,Twitter for Android,"""@MiriamRoseMc:  #TRUMp2016 would be the best for the country, jobs, trade and taxes - all others are status quo #MakeAmericaGreatAgain""",2015-09-22,852,1693,646296388209405952,12:14:01.000000
5534,Twitter for Android,"""@greta: . @realDonaldTrump announces his tax plan tomorrow morning http://t.co/bQ0Xjs63XH""",2015-09-28,941,2129,648323558360379392,02:29:16.000000
5543,Twitter for iPhone,Looking forward to press conference on taxes at 11AM at @TrumpTowerNY.,2015-09-28,1085,2217,648498271074304000,14:03:30.000000
5545,Twitter Web Client,I know you will enjoy reading my tax plan- http://t.co/FxtUQNXEFH #MakeAmericaGreatAgain,2015-09-28,2732,4265,648522896193810432,15:41:22.000000
5548,Twitter Web Client,Will be doing @OutFrontCNN with @ErinBurnett tonight at 7 pm re: tax reductions and various other topics.,2015-09-28,1515,2215,648573138968662016,19:01:00.000000
5564,Twitter Web Client,Highly respected economist @Larry_Kudlow is a big fan of my tax plan—thank you Larry. http://t.co/VT8Y7c8PSn,2015-09-30,1493,2529,649235388947677184,14:52:33.000000
5930,Twitter Web Client,Signing my tax return.... http://t.co/XJfXeaORbU,2015-10-15,6593,10727,654706635663773696,17:13:20.000000
6266,Twitter for Android,"""@SteveBashino:  Trump good for legal immigration, economy, defense, taxes, Social Security, Medicare, 2nd Amendment, and ALL Americans.""",2015-10-29,883,1943,659732256097873920,14:03:21.000000
7088,Twitter for Android,"The @washingtonpost, which loses a fortune, is owned by  @JeffBezos for purposes of keeping taxes down at his no profit company, @amazon.",2015-12-07,1233,2374,673881733415178240,15:08:20.000000
7089,Twitter for Android,The @washingtonpost loses   money (a deduction) and gives owner @JeffBezos power to screw public on low taxation of @Amazon! Big tax shelter,2015-12-07,1566,2596,673884271954776064,15:18:25.000000
7090,Twitter for Android,"If @amazon ever had to pay fair taxes, its stock would crash and it would crumble like a paper bag. The @washingtonpost scam is saving it!",2015-12-07,1729,3136,673885376742825984,15:22:48.000000
7410,Twitter for Android,"The @washingtonpost, which is the lobbyist (power) for not imposing taxes on #Amazon, today did a nasty cartoon attacking @tedcruz kids. Bad",2015-12-23,2229,5748,679676684501692416,14:55:24.000000
7470,Twitter for Android,"Strange, but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes, while he will double &amp; triple them, a disaster!",2015-12-28,3979,9761,681468264615165952,13:34:30.000000
7818,Twitter for iPhone,The tax scam Washington Post does among the most inaccurate stories of all. Really dishonest reporting.,2016-01-22,1086,3496,690682449387397120,23:48:22.000000
8186,Twitter for Android,"""@ThtsWhtKelSaid: I'm fed up w/ DC playing 3 card Monty w/ our tax $'s. It's time we the people play the Trump card, &amp; take back our country",2016-02-13,1972,5867,698588112994353152,19:22:39.000000
8363,Twitter for Android,"Mitt Romney,who totally blew an election that should have been won and whose tax returns made him look like a fool, is now playing tough guy",2016-02-24,4586,11008,702632410341576704,23:13:15.000000
8381,Twitter for Android,"Mitt Romney, who was one of the dumbest and worst candidates in the history of Republican politics, is now pushing me on tax returns. Dope!",2016-02-25,8096,22266,702833969537142784,12:34:11.000000
8383,Twitter for iPhone,"Just for your info, tax returns have 0 to do w/ someone’s net worth. I have already filed my financial statements w/ FEC. They are great!",2016-02-25,3388,10132,702891487776866304,16:22:44.000000
8384,Twitter for iPhone,Signing a recent tax return- isn't this ridiculous? https://t.co/UdwqF4iZIZ,2016-02-25,7333,17963,702894623761498112,16:35:12.000000
8392,Twitter for iPhone,Failed presidential candidate @MittRomney was made to look like a fool by Senator Harry Reid &amp; didn't release his tax returns until 9/21/12.,2016-02-26,2540,6938,703092155577831424,05:40:07.000000
8429,Twitter for Android,"Tax experts throughout the media agree that no sane person would give their tax returns during an audit. After the audit, no problem!",2016-02-27,3163,10302,703600613897023488,15:20:33.000000
8456,Twitter for Android,"Mitt Romney didn't show his tax return until SEPTEMBER 21, 2012, and then only after being humiliated by Harry R! A bad messenger for estab!",2016-02-28,4856,9115,704000092840325120,17:47:56.000000
8983,Twitter for Android,"""@PennyHicks13: @Carolde @kisster1 @FoxNews   Your tax and economic plans are second to none! https://t.co/Q08Kp4esxl Media shld report.",2016-04-10,2055,6156,718993739348361216,02:47:20.000000
9265,Twitter Web Client,I am lowering taxes far more than any other candidate. Any negotiated increase by Congress to my proposal would still be lower than current!,2016-05-09,6708,19811,729722941521469440,17:21:21.000000
9271,Twitter for Android,"Why does the media, with a strong push from Crooked Hillary, keep pushing the false narrative that I want to raise taxes. Exactly opposite!",2016-05-10,7532,19621,730018836808933376,12:57:08.000000
9294,Twitter for Android,"In interview I told @AP that my taxes are under routine audit and I would release my tax returns when audit is complete, not after election!",2016-05-11,4770,15490,730500562022760448,20:51:20.000000
9299,Twitter Web Client,.@thehill  Your story about me &amp; the carbon tax is absolutely incorrect—it is just the opposite. I will not support or endorse a carbon tax!,2016-05-13,6929,16634,731192363809394688,18:40:19.000000
9444,Twitter for Android,"Crooked Hillary Clinton overregulates, overtaxes and doesn't care about jobs. Most importantly, she suffers from plain old bad judgement!",2016-05-24,6923,19945,735073508124983296,11:42:35.000000
9716,Twitter for Android,Crooked Hillary refuses to say that she will be raising taxes beyond belief! She will be a disaster for jobs and the economy!,2016-06-22,9776,28348,745455382882033664,03:16:27.000000
9780,Twitter for Android,"""@vegas_sports: Good for @realDonaldTrump he's smart on business. Maybe If corporations weren't overtaxed they would stay. Voting for #Trump",2016-06-28,2549,8797,747873024515407872,19:23:18.000000
10114,Twitter for iPhone,"A vote for Clinton-Kaine is a vote for TPP, NAFTA, high taxes, radical regulation, and massive influx of refugees.",2016-07-28,16928,39254,758761945910669312,20:31:59.000000
10156,Twitter for iPhone,"Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country.",2016-07-30,4994,19853,759371377002553344,12:53:39.000000
10165,Twitter for iPhone,"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",2016-07-30,9653,28636,759450265208651776,18:07:07.000000
10330,Twitter for Android,A massive tax increase will be necessary to fund Crooked Hillary Clinton's agenda. What a terrible (and boring) rollout that was yesterday!,2016-08-12,10134,32559,764055793951834112,11:07:51.000000
10676,Twitter for iPhone,"Hillary Clinton just lost every Republican she ever had, including Never Trump, all farmers &amp; sm. biz, by saying she’ll tax estates at 65%.",2016-09-23,19749,39606,779371482329837568,17:26:56.000000
10699,Twitter for iPhone,A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5,2016-09-27,8073,17073,780580825234415616,01:32:25.000000
10771,Twitter for Android,I know our complex tax laws better than anyone who has ever run for president and am the only one who can fix them. #failing@nytimes,2016-10-02,15421,41385,782541307168391168,11:22:41.000000
10801,Twitter for Android,"""@ARSenMissyIrvin: I want a ""you're fired"" president with people in Govt who are WASTING my tax $'s. @realDonaldTrump""",2016-10-05,5123,17819,783480144614658048,01:33:17.000000
10883,Twitter for iPhone,"We're going to cut taxes BIG LEAGUE for the middle class. She's raising your taxes and I'm lowering your taxes!
https://t.co/ZwIkqNH2FX",2016-10-10,5976,16516,785298212513021952,01:57:38.000000
10897,Twitter for iPhone,"MY PRO-GROWTH Econ Plan:
✅Eliminate excessive regulations! 
✅Lean government!
✅Lower taxes!
#Debates … https://t.co/OchcnuSAgR",2016-10-10,11823,27030,785306782033907712,02:31:41.000000
11044,Twitter for iPhone,Hillary Clinton will use American tax dollars to provide amnesty for thousands of illegals. I will put… https://t.co/ZpV33TfbR6,2016-10-20,5668,11097,788913356656652288,01:22:56.000000
11057,Twitter Web Client,.@HillaryClinton's tax hikes will CRUSH our economy. I will cut taxes -- BIG LEAGUE. https://t.co/EtA1tBnrNG https://t.co/NgMDP4wilI,2016-10-20,3675,8271,788918380082319360,01:42:53.000000
11060,Twitter Web Client,#CrookedHillary's plan will add $1.15 TRILLION in new taxes. We cannot afford her! #DrainTheSwamp #Debate https://t.co/jpjKY1IiQh,2016-10-20,4006,7426,788918981818134528,01:45:17.000000
11092,Twitter Web Client,.@realDonaldTrump is going to cut taxes BIG LEAGUE -- Crooked is going to raise taxes BIG LEAGUE! #DrainTheSwamp… https://t.co/41X9Qjy0RJ,2016-10-20,5104,11316,788930895600160768,02:32:37.000000
11445,Twitter for Android,"The U.S. is going to substantialy reduce taxes and regulations on businesses, but any business that leaves our country for another country,",2016-12-04,13697,53412,805376548882776064,11:41:47.000000
11447,Twitter for Android,"without retribution or consequence, is WRONG! There will be a tax on our soon to be strong border of 35% for these companies ......",2016-12-04,12287,48467,805380553008680960,11:57:41.000000
